NAZEV,OKRES,KRAJ
Horní Slavkov,Sokolov,Karlovarský kraj
Horní Slivno,Mladá Boleslav,Středočeský kraj
Horní Smržov,Blansko,Jihomoravský kraj
Horní Smrčné,Třebíč,Kraj Vysočina
Horní Stropnice,České Budějovice,Jihočeský kraj
Horní Studénky,Šumperk,Olomoucký kraj
Horní Suchá,Karviná,Moravskoslezský kraj
Horní Tošanovice,Frýdek-Místek,Moravskoslezský kraj
Horní Těšice,Přerov,Olomoucký kraj
Horní Třešňovec,Ústí nad Orlicí,Pardubický kraj
Horní Ves,Pelhřimov,Kraj Vysočina
Horní Vilémovice,Třebíč,Kraj Vysočina
Horní Vltavice,Prachatice,Jihočeský kraj
Horní Věstonice,Břeclav,Jihomoravský kraj
Horní Štěpánov,Prostějov,Olomoucký kraj
Horní Životice,Bruntál,Moravskoslezský kraj
Horní Čermná,Ústí nad Orlicí,Pardubický kraj
Horní Řasnice,Liberec,Liberecký kraj
Horní Ředice,Pardubice,Pardubický kraj
Horní Řepčice,Litoměřice,Ústecký kraj
Horní Újezd,Přerov,Olomoucký kraj
Horní Újezd,Svitavy,Pardubický kraj
Horní Újezd,Třebíč,Kraj Vysočina
Horoměřice,Praha-západ,Středočeský kraj
Horosedly,Písek,Jihočeský kraj
Horoušany,Praha-východ,Středočeský kraj
Horská Kvilda,Klatovy,Plzeňský kraj
Horušice,Kutná Hora,Středočeský kraj
Hory,Karlovy Vary,Karlovarský kraj
Horšice,Plzeň-jih,Plzeňský kraj
Horšovský Týn,Domažlice,Plzeňský kraj
Horčápsko,Příbram,Středočeský kraj
Hoslovice,Strakonice,Jihočeský kraj
Hospozín,Kladno,Středočeský kraj
Hospříz,Jindřichův Hradec,Jihočeský kraj
Hostašovice,Nový Jičín,Moravskoslezský kraj
Hostim,Znojmo,Jihomoravský kraj
Hostinné,Trutnov,Královéhradecký kraj
Hostivice,Praha-západ,Středočeský kraj
Hostišová,Zlín,Zlínský kraj
Hostomice,Teplice,Ústecký kraj
Hostomice,Beroun,Středočeský kraj
Hostouň,Kladno,Středočeský kraj
Hostouň,Domažlice,Plzeňský kraj
Hostovlice,Kutná Hora,Středočeský kraj
Hosty,České Budějovice,Jihočeský kraj
Hostějov,Uherské Hradiště,Zlínský kraj
Hostěnice,Brno-venkov,Jihomoravský kraj
Hostěradice,Znojmo,Jihomoravský kraj
Hostěrádky-Rešov,Vyškov,Jihomoravský kraj
Hostětice,Jihlava,Kraj Vysočina
Hostětín,Uherské Hradiště,Zlínský kraj
Hostín,Mělník,Středočeský kraj
Hostín u Vojkovic,Mělník,Středočeský kraj
Hosín,České Budějovice,Jihočeský kraj
Hovorany,Hodonín,Jihomoravský kraj
Hovorčovice,Praha-východ,Středočeský kraj
Hovězí,Vsetín,Zlínský kraj
Hoštejn,Šumperk,Olomoucký kraj
Hoštice,Kroměříž,Zlínský kraj
Hoštice,Strakonice,Jihočeský kraj
Hoštice-Heroltice,Vyškov,Jihomoravský kraj
Hoštka,Litoměřice,Ústecký kraj
Hošťalovice,Chrudim,Pardubický kraj
Hošťka,Tachov,Plzeňský kraj
Hošťálkovy,Bruntál,Moravskoslezský kraj
Hošťálková,Vsetín,Zlínský kraj
Hořany,Nymburk,Středočeský kraj
Hořenice,Náchod,Královéhradecký kraj
Hořepník,Pelhřimov,Kraj Vysočina
Hořesedly,Rakovník,Středočeský kraj
Hořešovice,Kladno,Středočeský kraj
Hořešovičky,Kladno,Středočeský kraj
Hořice,Jičín,Královéhradecký kraj
Hořice,Pelhřimov,Kraj Vysočina
Hořice na Šumavě,Český Krumlov,Jihočeský kraj
Hořiněves,Hradec Králové,Královéhradecký kraj
Hořičky,Náchod,Královéhradecký kraj
Hořovice,Beroun,Středočeský kraj
Hořovičky,Rakovník,Středočeský kraj
Hořátev,Nymburk,Středočeský kraj
Hořín,Mělník,Středočeský kraj
Hrabišín,Šumperk,Olomoucký kraj
Hrabová,Šumperk,Olomoucký kraj
Hrabyně,Opava,Moravskoslezský kraj
Hrabětice,Znojmo,Jihomoravský kraj
Hraběšice,Šumperk,Olomoucký kraj
Hraběšín,Kutná Hora,Středočeský kraj
Hrabůvka,Přerov,Olomoucký kraj
Hracholusky,Prachatice,Jihočeský kraj
Hracholusky,Rakovník,Středočeský kraj
Hrachoviště,Jindřichův Hradec,Jihočeský kraj
Hradce,České Budějovice,Jihočeský kraj
Hradec,Plzeň-jih,Plzeňský kraj
Hradec,Havlíčkův Brod,Kraj Vysočina
Hradec Králové,Hradec Králové,Královéhradecký kraj
Hradec nad Moravicí,Opava,Moravskoslezský kraj
Hradec nad Svitavou,Svitavy,Pardubický kraj
Hradec-Nová Ves,Jeseník,Olomoucký kraj
Hradešice,Klatovy,Plzeňský kraj
Hradešín,Kolín,Středočeský kraj
Hradečno,Kladno,Středočeský kraj
Hradištko,Praha-západ,Středočeský kraj
Hradištko,Nymburk,Středočeský kraj
Hradiště,Plzeň-jih,Plzeňský kraj
Hradiště,Domažlice,Plzeňský kraj
Hradiště,Rokycany,Plzeňský kraj
Hradiště,Benešov,Středočeský kraj
Hradiště,Karlovy Vary,Karlovarský kraj
Hradčany,Nymburk,Středočeský kraj
Hradčany,Brno-venkov,Jihomoravský kraj
Hradčany,Přerov,Olomoucký kraj
Hradčany-Kobeřice,Prostějov,Olomoucký kraj
Hradčovice,Uherské Hradiště,Zlínský kraj
Hranice,České Budějovice,Jihočeský kraj
Hranice,Cheb,Karlovarský kraj
Hranice,Přerov,Olomoucký kraj
Hraničné Petrovice,Olomouc,Olomoucký kraj
Hrazany,Písek,Jihočeský kraj
Hrdibořice,Prostějov,Olomoucký kraj
Hrdlořezy,Mladá Boleslav,Středočeský kraj
Hrdlív,Kladno,Středočeský kraj
Hrdějovice,České Budějovice,Jihočeský kraj
Hrejkovice,Písek,Jihočeský kraj
Hrob,Teplice,Ústecký kraj
Hrobce,Litoměřice,Ústecký kraj
Hrobice,Pardubice,Pardubický kraj
Hrobice,Zlín,Zlínský kraj
Hrobčice,Teplice,Ústecký kraj
Hrochův Týnec,Chrudim,Pardubický kraj
Hromnice,Plzeň-sever,Plzeňský kraj
Hronov,Náchod,Královéhradecký kraj
Hrotovice,Třebíč,Kraj Vysočina
Hroubovice,Chrudim,Pardubický kraj
Hroznatín,Třebíč,Kraj Vysočina
Hroznová Lhota,Hodonín,Jihomoravský kraj
Hroznětín,Karlovy Vary,Karlovarský kraj
Hrubá Skála,Semily,Liberecký kraj
Hrubá Vrbka,Hodonín,Jihomoravský kraj
Hrubčice,Prostějov,Olomoucký kraj
Hrubý Jeseník,Nymburk,Středočeský kraj
Hrusice,Praha-východ,Středočeský kraj
Hrutov,Jihlava,Kraj Vysočina
Hruška,Prostějov,Olomoucký kraj
Hrušky,Vyškov,Jihomoravský kraj
Hrušky,Břeclav,Jihomoravský kraj
Hrušov,Mladá Boleslav,Středočeský kraj
Hrušovany,Chomutov,Ústecký kraj
Hrušovany nad Jevišovkou,Znojmo,Jihomoravský kraj
Hrušovany u Brna,Brno-venkov,Jihomoravský kraj
Hrušová,Ústí nad Orlicí,Pardubický kraj
Hrádek,Rokycany,Plzeňský kraj
Hrádek,Frýdek-Místek,Moravskoslezský kraj
Hrádek,Znojmo,Jihomoravský kraj
Hrádek,Klatovy,Plzeňský kraj
Hrádek,Hradec Králové,Královéhradecký kraj
Hrádek,Ústí nad Orlicí,Pardubický kraj
Hrádek nad Nisou,Liberec,Liberecký kraj
Hrčava,Frýdek-Místek,Moravskoslezský kraj
Hubenov,Jihlava,Kraj Vysočina
Hudlice,Beroun,Středočeský kraj
Hudčice,Příbram,Středočeský kraj
Hukvaldy,Frýdek-Místek,Moravskoslezský kraj
Hulice,Benešov,Středočeský kraj
Hulín,Kroměříž,Zlínský kraj
Humburky,Hradec Králové,Královéhradecký kraj
Humpolec,Pelhřimov,Kraj Vysočina
Huntířov,Děčín,Ústecký kraj
Hurtova Lhota,Havlíčkův Brod,Kraj Vysočina
Husinec,Prachatice,Jihočeský kraj
Husinec,Praha-východ,Středočeský kraj
Huslenky,Vsetín,Zlínský kraj
Hustopeče,Břeclav,Jihomoravský kraj
Hustopeče nad Bečvou,Přerov,Olomoucký kraj
Husí Lhota,Mladá Boleslav,Středočeský kraj
Hutisko-Solanec,Vsetín,Zlínský kraj
Huzová,Olomouc,Olomoucký kraj
Huštěnovice,Uherské Hradiště,Zlínský kraj
Hvozd,Rakovník,Středočeský kraj
Hvozd,Plzeň-sever,Plzeňský kraj
Hvozd,Prostějov,Olomoucký kraj
Hvozdec,České Budějovice,Jihočeský kraj
Hvozdec,Brno-venkov,Jihomoravský kraj
Hvozdec,Beroun,Středočeský kraj
Hvozdnice,Hradec Králové,Královéhradecký kraj
Hvozdnice,Praha-západ,Středočeský kraj
Hvozdná,Zlín,Zlínský kraj
Hvožďany,Domažlice,Plzeňský kraj
Hvožďany,Příbram,Středočeský kraj
Hvězdlice,Vyškov,Jihomoravský kraj
Hvězdonice,Benešov,Středočeský kraj
Hvězdoňovice,Třebíč,Kraj Vysočina
Hybrálec,Jihlava,Kraj Vysočina
Hynčice,Náchod,Královéhradecký kraj
Hynčina,Šumperk,Olomoucký kraj
Háj u Duchcova,Teplice,Ústecký kraj
Háj ve Slezsku,Opava,Moravskoslezský kraj
Háje,Příbram,Středočeský kraj
Háje nad Jizerou,Semily,Liberecký kraj
Hájek,Strakonice,Jihočeský kraj
Hájek,Karlovy Vary,Karlovarský kraj
Hřebeč,Kladno,Středočeský kraj
Hřebečníky,Rakovník,Středočeský kraj
Hředle,Beroun,Středočeský kraj
Hředle,Rakovník,Středočeský kraj
Hřensko,Děčín,Ústecký kraj
Hřibiny-Ledská,Rychnov nad Kněžnou,Královéhradecký kraj
Hřibojedy,Trutnov,Královéhradecký kraj
Hřiměždice,Příbram,Středočeský kraj
Hřivice,Louny,Ústecký kraj
Hřivínův Újezd,Zlín,Zlínský kraj
Hříšice,Jindřichův Hradec,Jihočeský kraj
Hříškov,Louny,Ústecký kraj
Hůrky,Rokycany,Plzeňský kraj
Hůry,České Budějovice,Jihočeský kraj
Hýskov,Beroun,Středočeský kraj
Hýsly,Hodonín,Jihomoravský kraj
Ivanovice na Hané,Vyškov,Jihomoravský kraj
Ivančice,Brno-venkov,Jihomoravský kraj
Ivaň,Brno-venkov,Jihomoravský kraj
Ivaň,Prostějov,Olomoucký kraj
Jabkenice,Mladá Boleslav,Středočeský kraj
Jablonec nad Jizerou,Semily,Liberecký kraj
Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj
Jablonná,Příbram,Středočeský kraj
Jablonné nad Orlicí,Ústí nad Orlicí,Pardubický kraj
Jablonné v Podještědí,Liberec,Liberecký kraj
Jabloňany,Blansko,Jihomoravský kraj
Jabloňov,Žďár nad Sázavou,Kraj Vysočina
Jablunkov,Frýdek-Místek,Moravskoslezský kraj
Jablůnka,Vsetín,Zlínský kraj
Jahodov,Rychnov nad Kněžnou,Královéhradecký kraj
Jakartovice,Opava,Moravskoslezský kraj
Jakubov u Moravských Budějovic,Třebíč,Kraj Vysočina
Jakubovice,Šumperk,Olomoucký kraj
Jakubčovice nad Odrou,Nový Jičín,Moravskoslezský kraj
Jalubí,Uherské Hradiště,Zlínský kraj
Jamné,Jihlava,Kraj Vysočina
Jamné nad Orlicí,Ústí nad Orlicí,Pardubický kraj
Jamolice,Znojmo,Jihomoravský kraj
Jankov,Benešov,Středočeský kraj
Jankov,Pelhřimov,Kraj Vysočina
Jankov,České Budějovice,Jihočeský kraj
Jankovice,Pardubice,Pardubický kraj
Jankovice,Uherské Hradiště,Zlínský kraj
Jankovice,Kroměříž,Zlínský kraj
Janoušov,Šumperk,Olomoucký kraj
Janov,Rychnov nad Kněžnou,Královéhradecký kraj
Janov,Svitavy,Pardubický kraj
Janov,Rakovník,Středočeský kraj
Janov,Děčín,Ústecký kraj
Janov,Bruntál,Moravskoslezský kraj
Janov nad Nisou,Jablonec nad Nisou,Liberecký kraj
Janovice,Frýdek-Místek,Moravskoslezský kraj
Janovice nad Úhlavou,Klatovy,Plzeňský kraj
Janovice v Podještědí,Liberec,Liberecký kraj
Janová,Vsetín,Zlínský kraj
Janská,Děčín,Ústecký kraj
Janské Lázně,Trutnov,Královéhradecký kraj
Janův Důl,Liberec,Liberecký kraj
Janůvky,Svitavy,Pardubický kraj
Jarcová,Vsetín,Zlínský kraj
Jarohněvice,Kroměříž,Zlínský kraj
Jaroměř,Náchod,Královéhradecký kraj
Jaroměřice,Svitavy,Pardubický kraj
Jaroměřice nad Rokytnou,Třebíč,Kraj Vysočina
Jaroslav,Pardubice,Pardubický kraj
Jaroslavice,Znojmo,Jihomoravský kraj
Jarov,Plzeň-jih,Plzeňský kraj
Jarov,Plzeň-sever,Plzeňský kraj
Jarošov,Svitavy,Pardubický kraj
Jarošov nad Nežárkou,Jindřichův Hradec,Jihočeský kraj
Jarpice,Kladno,Středočeský kraj
Jasenice,Třebíč,Kraj Vysočina
Jasenná,Zlín,Zlínský kraj
Jasenná,Náchod,Královéhradecký kraj
Javor,Klatovy,Plzeňský kraj
Javorek,Žďár nad Sázavou,Kraj Vysočina
Javornice,Rychnov nad Kněžnou,Královéhradecký kraj
Javorník,Svitavy,Pardubický kraj
Javorník,Benešov,Středočeský kraj
Javorník,Jeseník,Olomoucký kraj
Javorník,Ústí nad Orlicí,Pardubický kraj
Javorník,Hodonín,Jihomoravský kraj
Javůrek,Brno-venkov,Jihomoravský kraj
Jedlany,Tábor,Jihočeský kraj
Jedlová,Svitavy,Pardubický kraj
Jedlá,Havlíčkův Brod,Kraj Vysočina
Jedlí,Šumperk,Olomoucký kraj
Jedomělice,Kladno,Středočeský kraj
Jedousov,Pardubice,Pardubický kraj
Jedovnice,Blansko,Jihomoravský kraj
Jehnědí,Ústí nad Orlicí,Pardubický kraj
Jemnice,Třebíč,Kraj Vysočina
Jemníky,Kladno,Středočeský kraj
Jeneč,Praha-západ,Středočeský kraj
Jenišov,Karlovy Vary,Karlovarský kraj
Jenišovice,Jablonec nad Nisou,Liberecký kraj
Jenišovice,Chrudim,Pardubický kraj
Jenštejn,Praha-východ,Středočeský kraj
Jenčice,Litoměřice,Ústecký kraj
Jeníkov,Teplice,Ústecký kraj
Jeníkov,Chrudim,Pardubický kraj
Jeníkovice,Pardubice,Pardubický kraj
Jeníkovice,Hradec Králové,Královéhradecký kraj
Jersín,Jihlava,Kraj Vysočina
Jesenec,Prostějov,Olomoucký kraj
Jesenice,Praha-západ,Středočeský kraj
Jesenice,Rakovník,Středočeský kraj
Jesenice,Příbram,Středočeský kraj
Jesenný,Semily,Liberecký kraj
Jeseník,Jeseník,Olomoucký kraj
Jeseník nad Odrou,Nový Jičín,Moravskoslezský kraj
Jestřabí,Zlín,Zlínský kraj
Jestřabí Lhota,Kolín,Středočeský kraj
Jestřabí v Krkonoších,Semily,Liberecký kraj
Jestřebí,Česká Lípa,Liberecký kraj
Jestřebí,Šumperk,Olomoucký kraj
Jestřebí,Náchod,Královéhradecký kraj
Jetětice,Písek,Jihočeský kraj
Jetřichov,Náchod,Královéhradecký kraj
Jetřichovice,Děčín,Ústecký kraj
Jevany,Praha-východ,Středočeský kraj
Jeviněves,Mělník,Středočeský kraj
Jevišovice,Znojmo,Jihomoravský kraj
Jevišovka,Břeclav,Jihomoravský kraj
Jevíčko,Svitavy,Pardubický kraj
Jezbořice,Pardubice,Pardubický kraj
Jezdkovice,Opava,Moravskoslezský kraj
Jezdovice,Jihlava,Kraj Vysočina
Jezernice,Přerov,Olomoucký kraj
Jezeřany-Maršovice,Znojmo,Jihomoravský kraj
Ješetice,Benešov,Středočeský kraj
Ježená,Jihlava,Kraj Vysočina
Ježkovice,Vyškov,Jihomoravský kraj
Ježov,Hodonín,Jihomoravský kraj
Ježov,Pelhřimov,Kraj Vysočina
Ježovy,Klatovy,Plzeňský kraj
Jeřice,Jičín,Královéhradecký kraj
Jeřišno,Havlíčkův Brod,Kraj Vysočina
Jeřmanice,Liberec,Liberecký kraj
Jickovice,Písek,Jihočeský kraj
Jihlava,Jihlava,Kraj Vysočina
Jihlávka,Jihlava,Kraj Vysočina
Jilem,Havlíčkův Brod,Kraj Vysočina
Jilem,Jindřichův Hradec,Jihočeský kraj
Jilemnice,Semily,Liberecký kraj
Jimlín,Louny,Ústecký kraj
Jimramov,Žďár nad Sázavou,Kraj Vysočina
Jinačovice,Brno-venkov,Jihomoravský kraj
Jince,Příbram,Středočeský kraj
Jindřichov,Přerov,Olomoucký kraj
Jindřichov,Šumperk,Olomoucký kraj
Jindřichov,Bruntál,Moravskoslezský kraj
Jindřichovice,Jihlava,Kraj Vysočina
Jindřichovice,Sokolov,Karlovarský kraj
Jindřichovice pod Smrkem,Liberec,Liberecký kraj
Jindřichův Hradec,Jindřichův Hradec,Jihočeský kraj
Jinolice,Jičín,Královéhradecký kraj
Jinošov,Třebíč,Kraj Vysočina
Jinočany,Praha-západ,Středočeský kraj
Jinín,Strakonice,Jihočeský kraj
Jiratice,Třebíč,Kraj Vysočina
Jirkov,Chomutov,Ústecký kraj
Jirny,Praha-východ,Středočeský kraj
Jistebnice,Tábor,Jihočeský kraj
Jistebník,Nový Jičín,Moravskoslezský kraj
Jitkov,Havlíčkův Brod,Kraj Vysočina
Jivina,Beroun,Středočeský kraj
Jivina,Mladá Boleslav,Středočeský kraj
Jivno,České Budějovice,Jihočeský kraj
Jizbice,Nymburk,Středočeský kraj
Jizerní Vtelno,Mladá Boleslav,Středočeský kraj
Jičín,Jičín,Královéhradecký kraj
Jičíněves,Jičín,Královéhradecký kraj
Jiřetín pod Bukovou,Jablonec nad Nisou,Liberecký kraj
Jiřetín pod Jedlovou,Děčín,Ústecký kraj
Jiřice,Pelhřimov,Kraj Vysočina
Jiřice,Nymburk,Středočeský kraj
Jiřice u Miroslavi,Znojmo,Jihomoravský kraj
Jiřice u Moravských Budějovic,Znojmo,Jihomoravský kraj
Jiříkov,Děčín,Ústecký kraj
Jiříkov,Bruntál,Moravskoslezský kraj
Jiříkovice,Brno-venkov,Jihomoravský kraj
Josefov,Sokolov,Karlovarský kraj
Josefov,Hodonín,Jihomoravský kraj
Josefův Důl,Jablonec nad Nisou,Liberecký kraj
Josefův Důl,Mladá Boleslav,Středočeský kraj
Jáchymov,Karlovy Vary,Karlovarský kraj
Jámy,Žďár nad Sázavou,Kraj Vysočina
Jíkev,Nymburk,Středočeský kraj
Jílovice,České Budějovice,Jihočeský kraj
Jílovice,Hradec Králové,Královéhradecký kraj
Jíloviště,Praha-západ,Středočeský kraj
Jílové,Děčín,Ústecký kraj
Jílové u Držkova,Jablonec nad Nisou,Liberecký kraj
Jílové u Prahy,Praha-západ,Středočeský kraj
Jívka,Trutnov,Královéhradecký kraj
Jívová,Olomouc,Olomoucký kraj
Jívoví,Žďár nad Sázavou,Kraj Vysočina
Kacanovy,Semily,Liberecký kraj
Kaceřov,Plzeň-sever,Plzeňský kraj
Kaceřov,Sokolov,Karlovarský kraj
Kacákova Lhota,Jičín,Královéhradecký kraj
Kadaň,Chomutov,Ústecký kraj
Kadlín,Mělník,Středočeský kraj
Kadolec,Žďár nad Sázavou,Kraj Vysočina
Kadov,Znojmo,Jihomoravský kraj
Kadov,Strakonice,Jihočeský kraj
Kadov,Žďár nad Sázavou,Kraj Vysočina
Kakejcov,Rokycany,Plzeňský kraj
Kalek,Chomutov,Ústecký kraj
Kalenice,Strakonice,Jihočeský kraj
Kalhov,Jihlava,Kraj Vysočina
Kalivody,Rakovník,Středočeský kraj
Kaliště,Pelhřimov,Kraj Vysočina
Kaliště,Jihlava,Kraj Vysočina
Kaliště,Praha-východ,Středočeský kraj
Kaly,Brno-venkov,Jihomoravský kraj
Kamberk,Benešov,Středočeský kraj
Kamenec,Rokycany,Plzeňský kraj
Kamenec u Poličky,Svitavy,Pardubický kraj
Kamenice,Praha-východ,Středočeský kraj
Kamenice,Jihlava,Kraj Vysočina
Kamenice nad Lipou,Pelhřimov,Kraj Vysočina
Kamenický Šenov,Česká Lípa,Liberecký kraj
Kameničky,Chrudim,Pardubický kraj
Kameničná,Ústí nad Orlicí,Pardubický kraj
Kamenná,České Budějovice,Jihočeský kraj
Kamenná,Jihlava,Kraj Vysočina
Kamenná,Šumperk,Olomoucký kraj
Kamenná,Třebíč,Kraj Vysočina
Kamenná Horka,Svitavy,Pardubický kraj
Kamenná Lhota,Havlíčkův Brod,Kraj Vysočina
Kamenné Zboží,Nymburk,Středočeský kraj
Kamenné Žehrovice,Kladno,Středočeský kraj
Kamenný Malíkov,Jindřichův Hradec,Jihočeský kraj
Kamenný Most,Kladno,Středočeský kraj
Kamenný Přívoz,Praha-západ,Středočeský kraj
Kamenný Újezd,České Budějovice,Jihočeský kraj
Kamenný Újezd,Rokycany,Plzeňský kraj
Kamýk,Litoměřice,Ústecký kraj
Kamýk nad Vltavou,Příbram,Středočeský kraj
Kanice,Domažlice,Plzeňský kraj
Kanice,Brno-venkov,Jihomoravský kraj
Kanina,Mělník,Středočeský kraj
Kaničky,Domažlice,Plzeňský kraj
Kaplice,Český Krumlov,Jihočeský kraj
Kardašova Řečice,Jindřichův Hradec,Jihočeský kraj
Karle,Svitavy,Pardubický kraj
Karlov,Žďár nad Sázavou,Kraj Vysočina
Karlova Studánka,Bruntál,Moravskoslezský kraj
Karlova Ves,Rakovník,Středočeský kraj
Karlovice,Bruntál,Moravskoslezský kraj
Karlovice,Semily,Liberecký kraj
Karlovice,Zlín,Zlínský kraj
Karlovy Vary,Karlovy Vary,Karlovarský kraj
Karlštejn,Beroun,Středočeský kraj
Karlík,Praha-západ,Středočeský kraj
Karlín,Hodonín,Jihomoravský kraj
Karolinka,Vsetín,Zlínský kraj
Karolín,Kroměříž,Zlínský kraj
Karviná,Karviná,Moravskoslezský kraj
Kasalice,Pardubice,Pardubický kraj
Kasejovice,Plzeň-jih,Plzeňský kraj
Kateřinice,Nový Jičín,Moravskoslezský kraj
Kateřinice,Vsetín,Zlínský kraj
Katov,Brno-venkov,Jihomoravský kraj
Katov,Tábor,Jihočeský kraj
Katovice,Strakonice,Jihočeský kraj
Katusice,Mladá Boleslav,Středočeský kraj
Kaznějov,Plzeň-sever,Plzeňský kraj
Kašava,Zlín,Zlínský kraj
Kašnice,Břeclav,Jihomoravský kraj
Kašperské Hory,Klatovy,Plzeňský kraj
Kačice,Kladno,Středočeský kraj
Kačlehy,Jindřichův Hradec,Jihočeský kraj
Kaňovice,Zlín,Zlínský kraj
Kaňovice,Frýdek-Místek,Moravskoslezský kraj
Kařez,Rokycany,Plzeňský kraj
Kařízek,Rokycany,Plzeňský kraj
Kbel,Plzeň-jih,Plzeňský kraj
Kbel,Kolín,Středočeský kraj
Kbelany,Plzeň-sever,Plzeňský kraj
Kbelnice,Jičín,Královéhradecký kraj
Kdousov,Třebíč,Kraj Vysočina
Kdyně,Domažlice,Plzeňský kraj
Keblice,Litoměřice,Ústecký kraj
Keblov,Benešov,Středočeský kraj
Kejnice,Klatovy,Plzeňský kraj
Kejžlice,Pelhřimov,Kraj Vysočina
Kelníky,Zlín,Zlínský kraj
Kelč,Vsetín,Zlínský kraj
Kelčany,Hodonín,Jihomoravský kraj
Kestřany,Písek,Jihočeský kraj
Ketkovice,Brno-venkov,Jihomoravský kraj
Klabava,Rokycany,Plzeňský kraj
Kladeruby,Vsetín,Zlínský kraj
Kladeruby nad Oslavou,Třebíč,Kraj Vysočina
Kladky,Prostějov,Olomoucký kraj
Kladno,Chrudim,Pardubický kraj
Kladno,Kladno,Středočeský kraj
Kladníky,Přerov,Olomoucký kraj
Kladruby,Strakonice,Jihočeský kraj
Kladruby,Tachov,Plzeňský kraj
Kladruby,Teplice,Ústecký kraj
Kladruby,Benešov,Středočeský kraj
Kladruby,Rokycany,Plzeňský kraj
Kladruby nad Labem,Pardubice,Pardubický kraj
Klamoš,Hradec Králové,Královéhradecký kraj
Klapý,Litoměřice,Ústecký kraj
Klatovec,Jihlava,Kraj Vysočina
Klatovy,Klatovy,Plzeňský kraj
Klec,Jindřichův Hradec,Jihočeský kraj
Klecany,Praha-východ,Středočeský kraj
Kleneč,Litoměřice,Ústecký kraj
Klenovice,Tábor,Jihočeský kraj
Klenovice na Hané,Prostějov,Olomoucký kraj
Klenová,Klatovy,Plzeňský kraj
Klentnice,Břeclav,Jihomoravský kraj
Klenčí pod Čerchovem,Domažlice,Plzeňský kraj
Klešice,Chrudim,Pardubický kraj
Klimkovice,Ostrava-město,Moravskoslezský kraj
Klobouky u Brna,Břeclav,Jihomoravský kraj
Klobuky,Kladno,Středočeský kraj
Klokočná,Praha-východ,Středočeský kraj
Klokočov,Havlíčkův Brod,Kraj Vysočina
Klokočí,Přerov,Olomoucký kraj
Klokočí,Semily,Liberecký kraj
Klopina,Šumperk,Olomoucký kraj
Klopotovice,Prostějov,Olomoucký kraj
Kluky,Písek,Jihočeský kraj
Kluky,Kutná Hora,Středočeský kraj
Kluky,Mladá Boleslav,Středočeský kraj
Klučenice,Příbram,Středočeský kraj
Klučov,Třebíč,Kraj Vysočina
Klučov,Kolín,Středočeský kraj
Kly,Mělník,Středočeský kraj
Klášter,Plzeň-jih,Plzeňský kraj
Klášter Hradiště nad Jizerou,Mladá Boleslav,Středočeský kraj
Klášterec nad Ohří,Chomutov,Ústecký kraj
Klášterec nad Orlicí,Ústí nad Orlicí,Pardubický kraj
Klášterní Skalice,Kolín,Středočeský kraj
Klášterská Lhota,Trutnov,Královéhradecký kraj
Klínec,Praha-západ,Středočeský kraj
Klíny,Most,Ústecký kraj
Klíčany,Praha-východ,Středočeský kraj
Kmetiněves,Kladno,Středočeský kraj
Knovíz,Kladno,Středočeský kraj
Knyk,Havlíčkův Brod,Kraj Vysočina
Kněždub,Hodonín,Jihomoravský kraj
Kněževes,Praha-západ,Středočeský kraj
Kněževes,Blansko,Jihomoravský kraj
Kněževes,Žďár nad Sázavou,Kraj Vysočina
Kněževes,Rakovník,Středočeský kraj
Kněžice,Nymburk,Středočeský kraj
Kněžice,Chrudim,Pardubický kraj
Kněžice,Jihlava,Kraj Vysočina
Kněžičky,Nymburk,Středočeský kraj
Kněžmost,Mladá Boleslav,Středočeský kraj
Kněžnice,Jičín,Královéhradecký kraj
Kněžpole,Uherské Hradiště,Zlínský kraj
Knínice,Blansko,Jihomoravský kraj
Knínice,Jihlava,Kraj Vysočina
Koberovice,Pelhřimov,Kraj Vysočina
Koberovy,Jablonec nad Nisou,Liberecký kraj
Kobeřice,Opava,Moravskoslezský kraj
Kobeřice u Brna,Vyškov,Jihomoravský kraj
Kobylice,Hradec Králové,Královéhradecký kraj
Kobylnice,Kutná Hora,Středočeský kraj
Kobylnice,Mladá Boleslav,Středočeský kraj
Kobylnice,Brno-venkov,Jihomoravský kraj
Kobyly,Liberec,Liberecký kraj
Kobylá nad Vidnavkou,Jeseník,Olomoucký kraj
Kobylí,Břeclav,Jihomoravský kraj
Kocbeře,Trutnov,Královéhradecký kraj
Kocelovice,Strakonice,Jihočeský kraj
Kochánky,Mladá Boleslav,Středočeský kraj
Kochánov,Havlíčkův Brod,Kraj Vysočina
Koclířov,Svitavy,Pardubický kraj
Kohoutov,Trutnov,Královéhradecký kraj
Kojatice,Třebíč,Kraj Vysočina
Kojatín,Třebíč,Kraj Vysočina
Kojetice,Třebíč,Kraj Vysočina
Kojetice,Mělník,Středočeský kraj
Kojetín,Přerov,Olomoucký kraj
Kojetín,Havlíčkův Brod,Kraj Vysočina
Kojice,Pardubice,Pardubický kraj
Kojátky,Vyškov,Jihomoravský kraj
Kojčice,Pelhřimov,Kraj Vysočina
Kokašice,Tachov,Plzeňský kraj
Kokory,Přerov,Olomoucký kraj
Kokořín,Mělník,Středočeský kraj
Kolaje,Nymburk,Středočeský kraj
